Variant,Accession number
SPgV-A nigri ,HGU22303
SPgV-A tri ,AF023425
SPgV-A mx ,AF023424
SPgV-A lab ,NC_001837
BPgV 737,KC796081
SOBV-1,MT513216
SOBV-2,MT513217
